date,match_id,side,title,subtitle,price,rating,image_name,image_url
2025-07-05,0,left,Fried pickles,,5.3,52.2,0_left.webp,https://scrandle.com/media/o/FO4eeY7XIAMaEnl.webp
2025-07-05,0,right,Pizza,,4.3,30.7,0_right.webp,https://scrandle.com/media/o/Fv2J05yX0AE0W1E.webp
2025-07-05,1,left,"Sausage, chips and gravy",,3.5,88.2,1_left.webp,https://scrandle.com/media/o/F_O2kyLWAAA717s.webp
2025-07-05,1,right,Zapiekanka z salami,,3.8,84.5,1_right.webp,https://scrandle.com/media/o/FPbIm3TWQAMeg_e.webp
2025-07-05,2,left,Soy and honey beef brisket size 7 sandwich,With waffle chips and a scotch egg,8.5,91.4,2_left.webp,https://scrandle.com/media/o/Fonslb4WIAECjYv.webp
2025-07-05,2,right,Pulled pork burger and hot dog,Price for each,5.5,73.2,2_right.webp,https://scrandle.com/media/o/FMSEajtXMAMyk7K.webp
2025-07-05,3,left,Kiełbasa z bułką i ogórkiem konserwowym,Sausage with a roll and pickled cucumber,2.0,73.6,3_left.webp,https://scrandle.com/media/o/FLE_iw7WYAcr3X1.webp
2025-07-05,3,right,Matjes herring sandwich,,4.3,24.6,3_right.webp,https://scrandle.com/media/o/F6y79B-WkAAsZTC.webp
2025-07-05,4,left,Sicilian pizza slice,,10.2,5.2,4_left.webp,https://scrandle.com/media/o/F29FfzsXsAAHXw1.webp
2025-07-05,4,right,Chicken tenders and waffle chips,,7.8,90.9,4_right.webp,https://scrandle.com/media/o/FLY_euIXoAENE5l.webp
2025-07-05,5,left,Sonoran hot dog,,8.5,32.4,5_left.webp,https://scrandle.com/media/o/F3DNoDyXkAEV3G0.webp
2025-07-05,5,right,The Animal burger,"Beef patty, sausage, bacon, egg, cheese and onions",7.0,85.4,5_right.webp,https://scrandle.com/media/o/GBufK5-WsAAgUbK.webp
2025-07-05,6,left,Pork and stuffing bap,With roast potatoes,5.0,88.1,6_left.webp,https://scrandle.com/media/o/Fcj3xnpXwAINdRh.webp
2025-07-05,6,right,Chicken burger,With katsu slaw and a pint,16.1,12.7,6_right.webp,https://scrandle.com/media/o/FowhH4aWYAAIJ91.webp
2025-07-05,7,left,Sweet chili and lime shredded chicken flatbread,,10.0,92.3,7_left.webp,https://scrandle.com/media/o/F7b0sDsXIAA5f_1.webp
2025-07-05,7,right,Pollo a la brasa,Grilled chicken and rice,2.4,76.7,7_right.webp,https://scrandle.com/media/o/FReJX0tX0AIjEKb.webp
2025-07-05,8,left,Acarajé,"Fried bean dumpling with shrimp, vatapa and peppers",2.4,70.3,8_left.webp,https://scrandle.com/media/o/FyIn1kUWAAA-gVE.webp
2025-07-05,8,right,Choripan,,4.0,73.1,8_right.webp,https://scrandle.com/media/o/FSlrnRtXwAIMZXe.webp
2025-07-05,9,left,Dirty dawg,,5.75,90.6,9_left.webp,https://scrandle.com/media/o/F9xsVpAXgAEswS-.webp
2025-07-05,9,right,Spicy pulled pork roll,,5.5,89.6,9_right.webp,https://scrandle.com/media/o/FifzHmAWQAIaSYT.webp
