date,match_id,side,id,url,price,rating,year,title,subtitle,club,country,image_name,image_url,rating_source,image_position,elo
2025-10-31,0,left,100042,,6.66,59.8,2025,Cool skull,With mash and gravy,The Grave,ENG,0_left.webp,https://scrandle.com/media/o/halloweenscrandle5.webp,live,center,450.0
2025-10-31,0,right,100043,,6.66,40.2,2025,Cool skull,With chips and mushy peas,The Crypt,ENG,0_right.webp,https://scrandle.com/media/o/halloweenscrandle6.webp,live,center,350.0
2025-10-31,1,left,100044,,6.66,50.31,2025,Apple with a friendly worm,,Richard Scary's Busytown,USA,1_left.webp,https://scrandle.com/media/o/halloweenscrandle3.webp,live,center,400.0
2025-10-31,1,right,100045,,6.66,49.69,2025,Apple with an evil worm,,Bad Apple!!,JPN,1_right.webp,https://scrandle.com/media/o/halloweenscrandle4.webp,live,center,400.0
2025-10-31,2,left,100062,,6.66,23.13,2025,Evil pie,,My Eyes Are In Here FC,ENG,2_left.webp,https://scrandle.com/media/o/halloweenscrandle2.webp,live,center,350.0
2025-10-31,2,right,100063,,6.66,76.87,2025,Evil pint,,Helles,GER,2_right.webp,https://scrandle.com/media/o/halloweenscrandle1.webp,live,center,450.0
2025-10-31,3,left,100048,,6.66,54.71,2025,Sausage stuffed with a man's soul,,Watch Delicatessen (1991),FRA,3_left.webp,https://scrandle.com/media/o/halloweenscrandle12.webp,live,center,450.0
2025-10-31,3,right,100049,,6.66,45.29,2025,Skeleton with cheese,,Wisconsin,USA,3_right.webp,https://scrandle.com/media/o/halloweenscrandle11.webp,live,center,350.0
2025-10-31,4,left,100050,,6.66,47.84,2025,Mexican jumping beans,Served in tomato sauce,Estadio De Los Muertos,MEX,4_left.webp,https://scrandle.com/media/o/halloweenscrandle15.webp,live,center,350.0
2025-10-31,4,right,100051,,6.66,52.16,2025,Bacon water,,The Place Beyond,NOR,4_right.webp,https://scrandle.com/media/o/halloweenscrandle16.webp,live,center,450.0
2025-10-31,5,left,100052,,6.66,16.93,2025,Nachos topped with melancholy,,Stoke-on-Trent,ENG,5_left.webp,https://scrandle.com/media/o/halloweenscrandle19.webp,live,center,350.0
2025-10-31,5,right,100053,,6.66,83.07,2025,Baked potato topped with jumpscare,,Whitby,ENG,5_right.webp,https://scrandle.com/media/o/halloweenscrandle20.webp,live,center,450.0
2025-10-31,6,left,100055,,6.66,25.93,2025,Mushy peas in a cup with added Creature,,Notts County FC,ENG,6_left.webp,https://scrandle.com/media/o/halloweenscrandle22.webp,live,center,350.0
2025-10-31,6,right,100054,,6.66,74.07,2025,Seemingly ordinary cheese pa-,,Manchester Torn Asunder,ENG,6_right.webp,https://scrandle.com/media/o/halloweenscrandle21.webp,live,center,450.0
2025-10-31,7,left,100056,,6.66,86.36,2025,Craig,Cooked to preference,Aberdeid FC,SCO,7_left.webp,https://scrandle.com/media/o/halloweenscrandle23.webp,live,center,450.0
2025-10-31,7,right,100057,,6.66,13.64,2025,Witches' stew,In a roll,Scary woman's hut,AUS,7_right.webp,https://scrandle.com/media/o/halloweenscrandle24.webp,live,center,350.0
2025-10-31,8,left,100060,,6.66,68.74,2025,Worms,With ketchup dip,The Ground,ESP,8_left.webp,https://scrandle.com/media/o/halloweenscrandle26.webp,live,center,450.0
2025-10-31,8,right,100061,,6.66,31.26,2025,Spiders,With mayonnaise dip,The Attic,ITA,8_right.webp,https://scrandle.com/media/o/halloweenscrandle25.webp,live,center,350.0
2025-10-31,9,left,100058,,6.66,39.04,2025,Pie in pond water,With a pint of slime,Poison Level FC,ENG,9_left.webp,https://scrandle.com/media/o/halloweenscrandle27.webp,live,center,350.0
2025-10-31,9,right,100059,,6.66,60.96,2025,Veggie burger,,Unknown Location,GRE,9_right.webp,https://scrandle.com/media/o/halloweenscrandle28.webp,live,center,450.0
