date,match_id,side,id,url,price,rating,year,title,subtitle,club,country,image_name,image_url,rating_source,image_position,elo
2025-07-01,0,left,1883927165307408748,https://x.com/FootyScran/status/1883927165307408748,5.5,91.7,2025,Breakfast bap,"2 sausage, 2 bacon and an egg with 2 hash browns",Newmarket Town F.C.,ENG,0_left.webp,https://scrandle.com/media/o/GiUNxL8W8AAiBu0.webp,scrandle,center,1172.3046743948523
2025-07-01,0,right,1775504996202643563,https://x.com/FootyScran/status/1775504996202643563,6.7,84.9,2024,Curry rice,With scotch egg,Yokohama F·Marinos,JPN,0_right.webp,https://scrandle.com/media/o/GKPcYhVXoAAGZGU.webp,scrandle,center,1135.3123326996433
2025-07-01,1,left,1679543121317879810,https://twitter.com/FootyScran/status/1679543121317879810,6.5,96.4,2023,Gloucester monster burger,,Gloucester City A.F.C.,ENG,1_left.webp,https://scrandle.com/media/o/F07vj4rWIA0adXM.webp,scrandle,center,1219.5232898599932
2025-07-01,1,right,1599830073154359296,https://twitter.com/FootyScran/status/1599830073154359296,2.0,21.8,2022,Hot dog,,Evesham United,ENG,1_right.webp,https://scrandle.com/media/o/FjO8961XoAEfeFV.webp,scrandle,center,788.268899852943
2025-07-01,2,left,1635240916515708929,https://twitter.com/FootyScran/status/1635240916515708929,7.0,87.4,2023,Fish and chips,,Melbourne Victory FC,AUS,2_left.webp,https://scrandle.com/media/o/FrGK8b6XgAEaB3i.webp,scrandle,center,1094.1227498650119
2025-07-01,2,right,1654269389330325505,https://twitter.com/FootyScran/status/1654269389330325505,2.3,65.0,2023,Pizza,,Botafogo de Futebol e Regatas,BRA,2_right.webp,https://scrandle.com/media/o/FvUlPVHXwAEOuhM.webp,scrandle,center,881.0011037534185
2025-07-01,3,left,1508084734722818049,https://twitter.com/FootyScran/status/1508084734722818049,10.75,65.8,2022,Chicken and chips,,Wembley Stadium,ENG,3_left.webp,https://scrandle.com/media/o/FO3LEjmXsAAQoQ2.webp,scrandle,center,1033.9570488165575
2025-07-01,3,right,1830655319195939221,https://x.com/FootyScran/status/1830655319195939221,8.0,93.3,2024,Peppered chicken,On chow mein noodles,Welling United,ENG,3_right.webp,https://scrandle.com/media/o/GWfLTnIWQBciICg.webp,twitter,center,1020.187066024656
2025-07-01,4,left,1500427947701907458,https://twitter.com/FootyScran/status/1500427947701907458,7.5,69.7,2022,Cheeseburger and fries,,Oxford City F.C.,ENG,4_left.webp,https://scrandle.com/media/o/FNKXQ20XwAYIKsL.webp,scrandle,center,1005.6196531281043
2025-07-01,4,right,1655604822001762306,https://twitter.com/FootyScran/status/1655604822001762306,4.5,12.9,2023,Cheeseburger,,Everton F.C.,ENG,4_right.webp,https://scrandle.com/media/o/FvnjzzmWIAAPQ_J.webp,scrandle,center,750.4853270167202
2025-07-01,5,left,1487140761468608512,https://twitter.com/FootyScran/status/1487140761468608512,0.0,8.4,2022,Mystery scran,No price data,USA,USA,5_left.webp,https://scrandle.com/media/o/FKNio4-WYAEp20t.webp,scrandle,center,675.0122797262592
2025-07-01,5,right,1665706895787671553,https://twitter.com/FootyScran/status/1665706895787671553,9.9,91.5,2023,Spicy chicken flatbread,Includes a pint,FC Twente,NED,5_right.webp,https://scrandle.com/media/o/Fx3Hl5vX0AIPY8g.webp,scrandle,center,1034.2712487622427
2025-07-01,6,left,1544717547609653249,https://twitter.com/FootyScran/status/1544717547609653249,8.5,93.2,2022,The pit master,"Burnt ends, pulled pork, spiced chicken, jalapeno muffin, cream corn and beans",Sporting Kansas City,USA,6_left.webp,https://scrandle.com/media/o/FW_wa5BX0AQbLgF.webp,scrandle,center,1199.8497413653147
2025-07-01,6,right,1827655415858913601,https://x.com/FootyScran/status/1827655415858913601,3.5,84.5,2024,Roast potatoes,With beef gravy,Huddersfield Town A.F.C.,ENG,6_right.webp,https://scrandle.com/media/o/GV0i6ZnWAAAsiah.webp,scrandle,center,890.4373939664215
2025-07-01,7,left,1636431647603081222,https://twitter.com/FootyScran/status/1636431647603081222,12.5,52.3,2023,Pulled pork sandwich and chips,,Orlando City SC,USA,7_left.webp,https://scrandle.com/media/o/FrXF6MTWwBYVJj-.webp,scrandle,center,893.8974823242169
2025-07-01,7,right,1505539703910678536,https://twitter.com/FootyScran/status/1505539703910678536,7.0,90.3,2022,Hot dog and chips,With a drink,Salford City F.C.,ENG,7_right.webp,https://scrandle.com/media/o/FOTAYSZXoAETrkO.webp,scrandle,center,1169.1010584312194
2025-07-01,8,left,1563852513652137986,https://twitter.com/FootyScran/status/1563852513652137986,5.5,84.0,2022,Currywurst,,FC Bayern Munich,GER,8_left.webp,https://scrandle.com/media/o/FbPrkbkXwAMElnh.webp,scrandle,center,1085.559956658002
2025-07-01,8,right,1628818448225558529,https://twitter.com/FootyScran/status/1628818448225558529,4.8,81.0,2023,Pulled turkey sandwich,With curry mayo,AFC Ajax,NED,8_right.webp,https://scrandle.com/media/o/Fpq5vYHXsAAul_1.webp,scrandle,center,978.2127479418485
2025-07-01,9,left,1625530748429107202,https://twitter.com/FootyScran/status/1625530748429107202,5.0,92.7,2023,Sticky Korean chicken,With chips,Sunderland A.F.C.,ENG,9_left.webp,https://scrandle.com/media/o/Fo8LmJ2WcAIdFss.webp,scrandle,center,1209.76693571265
2025-07-01,9,right,1750607109178208307,https://x.com/FootyScran/status/1750607109178208307,8.0,77.8,2024,The chippy tea butty,"fishcake on a bed of chips, topped with mushy peas and tartar sauce",Doncaster Rovers F.C.,ENG,9_right.webp,https://scrandle.com/media/o/GEtn4mjWkAAnP8J.webp,scrandle,center,1034.2292396614494
